,client_msg_id,type,text,user,ts,team,blocks,bot_id,bot_profile,files,upload,display_as_bot,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,subscribed,reactions,subtype,inviter,edited,attachments,Channel_id,Channel_name,bot_link,purpose
258,7d52e021-fe1d-4ae4-b594-92bad5c6c163,message,<@U01BXC8LK27> buenos dias !,U01BS8YKHS8,1602255676.0007,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'Btcin', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'U01BXC8LK27'}, {'type': 'text', 'text': ' buenos dias !'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
259,,message,Hello <@U01BS8YKHS8>! :tada:,U01BXC8LK27,1602255617.0005,T01BYMK9H7B,,B01CM1J688G,"{'id': 'B01CM1J688G', 'deleted': False, 'name': 'mi_primer_bot', 'updated': 1601765062, 'app_id': 'A01C9PPRZLZ', 'icons': {'image_36': 'https://a.slack-edge.com/80588/img/plugins/app/bot_36.png', 'image_48': 'https://a.slack-edge.com/80588/img/plugins/app/bot_48.png', 'image_72': 'https://a.slack-edge.com/80588/img/plugins/app/service_72.png'}, 'team_id': 'T01BYMK9H7B'}",,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
260,fc830a52-d68a-4bd2-9d77-e1982f10b9c5,message,<@U01BXC8LK27> hola !,U01BS8YKHS8,1602255614.0004,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '8KMY', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'U01BXC8LK27'}, {'type': 'text', 'text': ' hola !'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
261,34e3ac1b-0ae1-4181-83d9-5e5639f53335,message,<@U01BXC8LK27> :robot_face:,U01BS8YKHS8,1601927771.0174,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'ua0O', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'U01BXC8LK27'}, {'type': 'text', 'text': ' '}, {'type': 'emoji', 'name': 'robot_face'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
262,f40589dc-0d9d-4970-bbdd-0e392d706dc4,message,jaja eso es bueno :slightly_smiling_face: hay que sincronizarlo con el google calendar,U01BS8YKHS8,1601918088.0163,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '4nNR', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'jaja eso es bueno '}, {'type': 'emoji', 'name': 'slightly_smiling_face'}, {'type': 'text', 'text': ' hay que sincronizarlo con el google calendar'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
263,050d835f-9a4a-41ab-9545-b5e4b44aa258,message,Le podés pedir a <@U01BXC8LK27> que me avise cuando son las reuniones!!?? :grin:,U01BH0Q8MHB,1601917689.0156,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '3HL', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Le podés pedir a '}, {'type': 'user', 'user_id': 'U01BXC8LK27'}, {'type': 'text', 'text': ' que me avise cuando son las reuniones!!?? '}, {'type': 'emoji', 'name': 'grin'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
264,f1a543a7-0b79-4c88-bfc8-1ee60480554f,message,Gracias Vero!!!!!  (Corrí como loco al vicio!! jajaja),U01BH0Q8MHB,1601917655.0149,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'nw4', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Gracias Vero!!!!!  (Corrí como loco al vicio!! jajaja)'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
265,eb6f5178-bb77-41ad-809b-ead339dd9287,message,Hola estimados. Estoy en espera en Meet. Era ahora la reunión verdad?,U01BH0Q8MHB,1601917575.014,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '2Na', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Hola estimados. Estoy en espera en Meet. Era ahora la reunión verdad?'}]}]}]",,,,,,1601917575.014,1.0,1.0,1601917605.0142,['U01BS8YKHS8'],False,,,,,,C01BSU4AC2Y,test,,
266,7f8b8c30-3c38-435b-a3ca-a1f11c56340d,message,Para tener en cuenta,U01BYMTTXCH,1601917462.0135,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'sGn', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Para tener en cuenta'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
267,5a0d544e-f97e-48c3-956f-9ae195400596,message,<https://status.slack.com/>,U01BYMTTXCH,1601917458.0132,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'QCdL', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'link', 'url': 'https://status.slack.com/'}]}]}]",,,,,,,,,,,,,,,,"[{'service_name': 'Slack', 'title': 'Slack System Status', 'title_link': 'https://status.slack.com/', 'text': 'Resources for real-time and historical information about the Slack service.', 'fallback': 'Slack: Slack System Status', 'thumb_url': 'https://status.slack.com/img/v2_rebrand/slack_hash_256.png', 'from_url': 'https://status.slack.com/', 'thumb_width': 256, 'thumb_height': 256, 'service_icon': 'https://status.slack.com/favicon.ico', 'id': 1, 'original_url': 'https://status.slack.com/'}]",C01BSU4AC2Y,test,,
268,3aa2097b-39d9-4b71-bf77-1c0789734806,message,jajaja,U01BS8YKHS8,1601909283.0129998,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'N=aEK', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'jajaja'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
269,30A53490-D9E5-477C-84E4-6BE168AC108B,message,Esta pasando el test de turing mejor que la mitad de los políticos del planeta,U01BDB84630,1601909273.0128,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '=w8Z', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Esta pasando el test de turing mejor que la mitad de los políticos del planeta'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
270,,message,Hello <@U01BS8YKHS8>! :tada:,U01BXC8LK27,1601909235.0117,T01BYMK9H7B,,B01CM1J688G,"{'id': 'B01CM1J688G', 'deleted': False, 'name': 'mi_primer_bot', 'updated': 1601765062, 'app_id': 'A01C9PPRZLZ', 'icons': {'image_36': 'https://a.slack-edge.com/80588/img/plugins/app/bot_36.png', 'image_48': 'https://a.slack-edge.com/80588/img/plugins/app/bot_48.png', 'image_72': 'https://a.slack-edge.com/80588/img/plugins/app/service_72.png'}, 'team_id': 'T01BYMK9H7B'}",,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
271,95964228-de08-4e90-9275-8447f824f825,message,"eso no sabe pobrecito, es bebé todavía jaja :heart_eyes:",U01BS8YKHS8,1601909233.0116,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'H=E', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'eso no sabe pobrecito, es bebé todavía jaja '}, {'type': 'emoji', 'name': 'heart_eyes'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
272,6ba149b5-cfd8-42ff-b421-d78c6fed9619,message,Funciona bien,U01BYMTTXCH,1601909229.0115,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '6nSey', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Funciona bien'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
273,06148029-a67c-47b8-a5f5-687e47da359d,message,aaaaa <@U01BXC8LK27>,U01BYMTTXCH,1601909196.0109,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '2/nL', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'aaaaa '}, {'type': 'user', 'user_id': 'U01BXC8LK27'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
274,e203b454-f87c-4cd6-a41b-3b22a0aae681,message,Impostor,U01BL9EATFV,1601909188.0107,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'XZVu', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Impostor'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
275,086454fb-2e1e-4716-a12d-92e924ce61c1,message,:grinning:,U01BS8YKHS8,1601909185.0106,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'RUmb', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'emoji', 'name': 'grinning'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
276,,message,Hello <@U01BL9EATFV>! :tada:,U01BXC8LK27,1601909170.0103,T01BYMK9H7B,,B01CM1J688G,"{'id': 'B01CM1J688G', 'deleted': False, 'name': 'mi_primer_bot', 'updated': 1601765062, 'app_id': 'A01C9PPRZLZ', 'icons': {'image_36': 'https://a.slack-edge.com/80588/img/plugins/app/bot_36.png', 'image_48': 'https://a.slack-edge.com/80588/img/plugins/app/bot_48.png', 'image_72': 'https://a.slack-edge.com/80588/img/plugins/app/service_72.png'}, 'team_id': 'T01BYMK9H7B'}",,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
277,bbd03492-f3e9-437a-a1a1-9dcb12d3cebd,message,Hola <@U01BXC8LK27>,U01BL9EATFV,1601909168.0102,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'kt+', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Hola '}, {'type': 'user', 'user_id': 'U01BXC8LK27'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
278,a26dcfbe-5350-403f-b641-78b9dcf13dd4,message,viva !!!!,U01BS8YKHS8,1601909154.01,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': '8QF', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'viva !!!!'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
279,,message,Hello <@U01BYMTTXCH>! :tada:,U01BXC8LK27,1601909148.0097,T01BYMK9H7B,,B01CM1J688G,"{'id': 'B01CM1J688G', 'deleted': False, 'name': 'mi_primer_bot', 'updated': 1601765062, 'app_id': 'A01C9PPRZLZ', 'icons': {'image_36': 'https://a.slack-edge.com/80588/img/plugins/app/bot_36.png', 'image_48': 'https://a.slack-edge.com/80588/img/plugins/app/bot_48.png', 'image_72': 'https://a.slack-edge.com/80588/img/plugins/app/service_72.png'}, 'team_id': 'T01BYMK9H7B'}",,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
280,a1e78397-c379-4c6a-b004-1f5995e77915,message,<@U01BXC8LK27> hey,U01BYMTTXCH,1601909145.0096,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'sJU', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'U01BXC8LK27'}, {'type': 'text', 'text': ' hey'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
281,,message,Hello <@U01BS8YKHS8>! :tada:,U01BXC8LK27,1601909109.0093,T01BYMK9H7B,,B01CM1J688G,"{'id': 'B01CM1J688G', 'deleted': False, 'name': 'mi_primer_bot', 'updated': 1601765062, 'app_id': 'A01C9PPRZLZ', 'icons': {'image_36': 'https://a.slack-edge.com/80588/img/plugins/app/bot_36.png', 'image_48': 'https://a.slack-edge.com/80588/img/plugins/app/bot_48.png', 'image_72': 'https://a.slack-edge.com/80588/img/plugins/app/service_72.png'}, 'team_id': 'T01BYMK9H7B'}",,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
282,ea2aa337-f9f9-4c84-8461-2f04db4d2304,message,<@U01BXC8LK27> buenos dias :smile:,U01BS8YKHS8,1601909103.0091,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'ehm8J', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'user', 'user_id': 'U01BXC8LK27'}, {'type': 'text', 'text': ' buenos dias '}, {'type': 'emoji', 'name': 'smile'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
283,b0070b36-d1ec-416c-a833-c94193feb055,message,hello there,U01B5AQPV39,1601909099.0089,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'n0K', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'hello\xa0there'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
284,ae530899-7047-4333-9cbd-f104b5e64abc,message,"greetings = [""hola"",""buenos dias"",""hi"", ""hello"", ""hello there"", ""hey""]",U01BS8YKHS8,1601909087.0085,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'o0PqZ', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'greetings\xa0=\xa0[""hola"",""buenos\xa0dias"",""hi"",\xa0""hello"",\xa0""hello\xa0there"",\xa0""hey""]'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
285,8f9b8f0c-4072-4e91-94e5-4748945fd74b,message,Ya lo pueden saludar!! estos son los saludos que recibe,U01BS8YKHS8,1601909084.0084,T01BYMK9H7B,"[{'type': 'rich_text', 'block_id': 'pE+C', 'elements': [{'type': 'rich_text_section', 'elements': [{'type': 'text', 'text': 'Ya lo pueden saludar!! estos son los saludos que recibe'}]}]}]",,,,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
286,,message,Hello <@U01BS8YKHS8>! :tada:,U01BXC8LK27,1601909049.0079,T01BYMK9H7B,,B01CM1J688G,"{'id': 'B01CM1J688G', 'deleted': False, 'name': 'mi_primer_bot', 'updated': 1601765062, 'app_id': 'A01C9PPRZLZ', 'icons': {'image_36': 'https://a.slack-edge.com/80588/img/plugins/app/bot_36.png', 'image_48': 'https://a.slack-edge.com/80588/img/plugins/app/bot_48.png', 'image_72': 'https://a.slack-edge.com/80588/img/plugins/app/service_72.png'}, 'team_id': 'T01BYMK9H7B'}",,,,,,,,,,,,,,,C01BSU4AC2Y,test,,
